source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[sampling time]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[genotype]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[genotype]	factor value[sampling time]	factor value[treatment]
mouse 350 liver	Mus musculus	liver	not available	6	not available	6 week	Nicotinamide Riboside	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 350	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_350_E3	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_350_E3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 week	Nicotinamide Riboside
mouse 330 liver	Mus musculus	liver	not available	2	normal	6 week	Nicotinamide Riboside	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 330	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_330_E4	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_330_E4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 week	Nicotinamide Riboside
mouse 332 liver	Mus musculus	liver	not available	2	not available	6 week	Nicotinamide Riboside	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 332	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_332_F5	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_332_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 week	Nicotinamide Riboside
mouse 344 liver	Mus musculus	liver	not available	4	not available	6 week	control	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 344	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_344_F3	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_344_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 week	control
mouse 320 liver	Mus musculus	liver	not available	1	not available	6 week	control	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 320	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_320_G2	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_320_G2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 week	control
mouse 340 liver	Mus musculus	liver	not available	5	not available	6 week	Nicotinamide Riboside	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 340	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_340_F9	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_340_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 week	Nicotinamide Riboside
mouse 348 liver	Mus musculus	liver	not available	3	normal	6 week	Nicotinamide Riboside	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 348	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_348_E8	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_348_E8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 week	Nicotinamide Riboside
mouse 366 liver	Mus musculus	liver	not available	6	normal	6 week	control	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 366	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_366_F11	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_366_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 week	control
mouse 318 liver	Mus musculus	liver	not available	1	normal	6 week	control	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 318	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_318_E11	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_318_E11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 week	control
mouse 354 liver	Mus musculus	liver	not available	4	normal	6 week	control	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 354	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_354_E9	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_354_E9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 week	control
mouse 358 liver	Mus musculus	liver	not available	5	normal	6 week	Nicotinamide Riboside	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 358	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_358_F10	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_358_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 week	Nicotinamide Riboside
mouse 342 liver	Mus musculus	liver	not available	3	normal	6 week	control	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 342	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_342_E7	proteomic profiling by mass spectrometry	1	20191007_QE9_nLC_NAMPT2_LiNi_SA_liver_342_E7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment2 liver (6-week NR intervention)	300m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 week	control
